Data,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo
agosto 2018,Operações de Crédito - Mercado Externo,,,,,,,,04,2018,2018-08-20
agosto 2018,ALIENAÇÃO DE BENS,"550.000,00","550.000,00","15.980,00","2,91","67.800,00","12,33","482.200,00",04,2018,2018-08-20
agosto 2018,Alienação de Bens Móveis,"550.000,00","550.000,00","15.980,00","2,91","67.800,00","12,33","482.200,00",04,2018,2018-08-20
agosto 2018,Alienação de Bens Imóveis,,,,,,,,04,2018,2018-08-20
agosto 2018,Alienação de Bens Intangíveis,,,,,,,,04,2018,2018-08-20
agosto 2018,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,04,2018,2018-08-20
agosto 2018,TRANSFERÊNCIAS DE CAPITAL,"16.436.380,00","16.436.380,00","6.935.306,14","42,19","13.062.130,52","79,47","3.374.249,48",04,2018,2018-08-20
agosto 2018,Transferências da União e de suas Entidades,"16.436.380,00","16.436.380,00","6.935.306,14","42,19","13.062.130,52","79,47","3.374.249,48",04,2018,2018-08-20
agosto 2018,Transferências dos Estados e do Distrito Federal e de suas Entidades,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências dos Municípios e de suas Entidades,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências de Instituições Privadas,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências de Outras Instituições Públicas,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências do Exterior,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências de Pessoas Físicas,,,,,,,,04,2018,2018-08-20
agosto 2018,Transferências Provenientes de Depósitos Não Identificados,,,,,,,,04,2018,2018-08-20
agosto 2018,OUTRAS RECEITAS DE CAPITAL,"100.000,00","100.000,00","0,00",,"0,00",,"100.000,00",04,2018,2018-08-20
agosto 2018,Integralização do Capital Social,,,,,,,,04,2018,2018-08-20
agosto 2018,Remuneração das Disponibilidades do Tesouro,,,,,,,,04,2018,2018-08-20
agosto 2018,Resgate de Títulos do Tesouro,,,,,,,,04,2018,2018-08-20
agosto 2018,Demais Receitas de Capital,"100.000,00","100.000,00",,,,,"100.000,00",04,2018,2018-08-20
agosto 2018,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"35.962.000,00","35.962.000,00","5.621.520,24","15,63","22.234.824,02","61,83","13.727.175,98",04,2018,2018-08-20
agosto 2018,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.693.091.100,00","1.693.091.100,00","250.842.591,92","14,82","1.065.170.679,49","62,91","627.920.420,51",04,2018,2018-08-20
agosto 2018,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,,04,2018,2018-08-20
agosto 2018,Operações de Crédito - Mercado Interno,"0,00","0,00","0,00",,"0,00",,,04,2018,2018-08-20
agosto 2018,Mobiliária,,,,,,,,04,2018,2018-08-20
agosto 2018,Contratual,,,,,,,,04,2018,2018-08-20
agosto 2018,Operações de Crédito - Mercado Externo,"0,00","0,00","0,00",,"0,00",,,04,2018,2018-08-20
agosto 2018,Mobiliária,,,,,,,,04,2018,2018-08-20
agosto 2018,Contratual,,,,,,,,04,2018,2018-08-20
agosto 2018,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.693.091.100,00","1.693.091.100,00","250.842.591,92","14,82","1.065.170.679,49","62,91","627.920.420,51",04,2018,2018-08-20
agosto 2018,DÉFICIT (VI),,,,,"167.393.841,23",,,04,2018,2018-08-20
agosto 2018,TOTAL (VII) = (V + VI),"1.693.091.100,00","1.693.091.100,00","250.842.591,92","14,82","1.232.564.520,72","72,80","460.526.579,28",04,2018,2018-08-20
agosto 2018,SALDOS DE EXERCÍCIOS ANTERIORES,,"18.406.756,63",,,,,,04,2018,2018-08-20
agosto 2018,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,04,2018,2018-08-20
agosto 2018,Superávit Financeiro Utilizado para Créditos Adicionais,,"18.406.756,63",,,,,,04,2018,2018-08-20
agosto 2018,Reabertura de Créditos Adicionais,,,,,,,,04,2018,2018-08-20
junho 2018,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.657.129.100,00","1.657.129.100,00","250.769.069,00","15,13","797.714.783,79","48,14","859.414.316,21",03,2018,2018-06-20
junho 2018,RECEITAS CORRENTES,"1.607.270.770,00","1.607.270.770,00","249.155.261,09","15,50","788.210.655,40","49,04","819.060.114,60",03,2018,2018-06-20
junho 2018,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","470.280.000,00","470.280.000,00","67.230.262,22","14,30","230.461.042,57","49,01","239.818.957,43",03,2018,2018-06-20
junho 2018,Impostos,"417.950.000,00","417.950.000,00","59.955.038,19","14,35","206.483.008,90","49,40","211.466.991,10",03,2018,2018-06-20
junho 2018,Taxas,"50.130.000,00","50.130.000,00","7.162.746,98","14,29","23.585.819,04","47,05","26.544.180,96",03,2018,2018-06-20
junho 2018,Contribuição de Melhoria,"2.200.000,00","2.200.000,00","112.477,05","5,11","392.214,63","17,83","1.807.785,37",03,2018,2018-06-20
junho 2018,CONTRIBUIÇÕES,"17.981.000,00","17.981.000,00","2.786.351,05","15,50","8.313.755,83","46,24","9.667.244,17",03,2018,2018-06-20
junho 2018,Contribuições Sociais,"17.981.000,00","17.981.000,00","2.786.351,05","15,50","8.313.755,83","46,24","9.667.244,17",03,2018,2018-06-20
junho 2018,Contribuições Econômicas,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,"Contribuições para Entidades Privadas de Serviço Social e de Formação
Profissional",,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Contribuição para o Custeio do Serviço de Iluminação Pública,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,RECEITA PATRIMONIAL,"37.636.960,00","37.636.960,00","2.136.437,65","5,68","6.574.885,53","17,47","31.062.074,47",03,2018,2018-06-20
junho 2018,Exploração do Patrimônio Imobiliário do Estado,"1.615.360,00","1.615.360,00","489.129,48","30,28","1.495.735,29","92,59","119.624,71",03,2018,2018-06-20
junho 2018,Valores Mobiliários,"36.021.600,00","36.021.600,00","1.647.308,17","4,57","5.079.150,24","14,10","30.942.449,76",03,2018,2018-06-20
junho 2018,"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização
ou Licença",,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Exploração de Recursos Naturais,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Exploração do Patrimônio Intangível,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Cessão de Direitos,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Demais Receitas Patrimoniais,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,RECEITA AGROPECUÁRIA,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,RECEITA INDUSTRIAL,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,RECEITA DE SERVIÇOS,"236.583.710,00","236.583.710,00","41.273.920,19","17,45","118.688.557,70","50,17","117.895.152,30",03,2018,2018-06-20
junho 2018,Serviços Administrativos e Comerciais Gerais,"236.578.710,00","236.578.710,00","41.267.973,91","17,44","118.645.219,15","50,15","117.933.490,85",03,2018,2018-06-20
junho 2018,Serviços e Atividades Referentes à Navegação e ao Transporte,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Serviços e Atividades Referentes à Saúde,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Serviços e Atividades Financeiras,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Outros Serviços,"5.000,00","5.000,00","5.946,28","118,93","43.338,55","866,77","-38.338,55",03,2018,2018-06-20
junho 2018,TRANSFERÊNCIAS CORRENTES,"799.202.100,00","799.202.100,00","131.446.985,17","16,45","407.059.068,34","50,93","392.143.031,66",03,2018,2018-06-20
junho 2018,Transferências da União e de suas Entidades,"217.671.500,00","217.671.500,00","37.793.711,96","17,36","108.070.668,21","49,65","109.600.831,79",03,2018,2018-06-20
junho 2018,Transferências dos Estados e do Distrito Federal e de suas Entidades,"439.830.600,00","439.830.600,00","67.213.966,04","15,28","220.767.540,52","50,19","219.063.059,48",03,2018,2018-06-20
junho 2018,Transferências dos Municípios e de suas Entidades,"0,00","0,00","289.219,50",,"592.785,00",,"-592.785,00",03,2018,2018-06-20
junho 2018,Transferências de Instituições Privadas,"0,00","0,00",,,"46.000,00",,"-46.000,00",03,2018,2018-06-20
junho 2018,Transferências de Outras Instituições Públicas,"141.700.000,00","141.700.000,00","26.150.087,67","18,45","77.582.074,61","54,75","64.117.925,39",03,2018,2018-06-20
junho 2018,Transferências do Exterior,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências de Pessoas Físicas,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências Provenientes de Depósitos Não Identificados,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,OUTRAS RECEITAS CORRENTES,"45.587.000,00","45.587.000,00","4.281.304,81","9,39","17.113.345,43","37,54","28.473.654,57",03,2018,2018-06-20
junho 2018,"Multas Administrativas, Contratuais e Judiciais","15.521.000,00","15.521.000,00","2.784.928,95","17,94","6.950.246,18","44,78","8.570.753,82",03,2018,2018-06-20
junho 2018,"Indenizações, Restituições e Ressarcimentos","2.208.000,00","2.208.000,00","247.127,03","11,19","1.859.405,94","84,21","348.594,06",03,2018,2018-06-20
junho 2018,"Bens, Direitos e Valores Incorporados ao Patrimônio Público","50.000,00","50.000,00",,"0,00",,"0,00","50.000,00",03,2018,2018-06-20
junho 2018,Demais Receitas Correntes,"27.808.000,00","27.808.000,00","1.249.248,83","4,49","8.303.693,31","29,86","19.504.306,69",03,2018,2018-06-20
junho 2018,RECEITAS DE CAPITAL,"49.858.330,00","49.858.330,00","1.613.807,91","3,24","9.504.128,39","19,06","40.354.201,61",03,2018,2018-06-20
junho 2018,OPERAÇÕES DE CRÉDITO,"32.771.950,00","32.771.950,00","0,00","0,00","3.325.484,01","10,15","29.446.465,99",03,2018,2018-06-20
junho 2018,Operações de Crédito - Mercado Interno,"32.771.950,00","32.771.950,00",,"0,00","3.325.484,01","10,15","29.446.465,99",03,2018,2018-06-20
junho 2018,Operações de Crédito - Mercado Externo,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,ALIENAÇÃO DE BENS,"550.000,00","550.000,00","51.820,00","9,42","51.820,00","9,42","498.180,00",03,2018,2018-06-20
junho 2018,Alienação de Bens Móveis,"550.000,00","550.000,00","51.820,00","9,42","51.820,00","9,42","498.180,00",03,2018,2018-06-20
junho 2018,Alienação de Bens Imóveis,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Alienação de Bens Intangíveis,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,TRANSFERÊNCIAS DE CAPITAL,"16.436.380,00","16.436.380,00","1.561.987,91","9,50","6.126.824,38","37,28","10.309.555,62",03,2018,2018-06-20
junho 2018,Transferências da União e de suas Entidades,"13.736.380,00","13.736.380,00","1.561.987,91","11,37","6.126.824,38","44,60","7.609.555,62",03,2018,2018-06-20
junho 2018,Transferências dos Estados e do Distrito Federal e de suas Entidades,"2.700.000,00","2.700.000,00",,"0,00",,"0,00","2.700.000,00",03,2018,2018-06-20
junho 2018,Transferências dos Municípios e de suas Entidades,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências de Instituições Privadas,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências de Outras Instituições Públicas,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências do Exterior,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências de Pessoas Físicas,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Transferências Provenientes de Depósitos Não Identificados,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,OUTRAS RECEITAS DE CAPITAL,"100.000,00","100.000,00","0,00","0,00","0,00","0,00","100.000,00",03,2018,2018-06-20
junho 2018,Integralização do Capital Social,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Remuneração das Disponibilidades do Tesouro,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Resgate de Títulos do Tesouro,,,,,,,"0,00",03,2018,2018-06-20
junho 2018,Demais Receitas de Capital,"100.000,00","100.000,00",,"0,00",,"0,00","100.000,00",03,2018,2018-06-20
junho 2018,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"35.962.000,00","35.962.000,00","5.560.447,96","15,46","16.613.303,78","46,20","19.348.696,22",03,2018,2018-06-20
junho 2018,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.693.091.100,00","1.693.091.100,00","256.329.516,96","15,14","814.328.087,57","48,10","878.763.012,43",03,2018,2018-06-20
junho 2018,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",03,2018,2018-06-20
junho 2018,Operações de Crédito - Mercado Interno,"0,00","0,00","0,00",,"0,00",,"0,00",03,2018,2018-06-20
junho 2018,Mobiliária,,,,,,,,03,2018,2018-06-20
junho 2018,Contratual,,,,,,,,03,2018,2018-06-20
junho 2018,Operações de Crédito - Mercado Externo,"0,00","0,00","0,00",,"0,00",,"0,00",03,2018,2018-06-20
junho 2018,Mobiliária,,,,,,,,03,2018,2018-06-20
junho 2018,Contratual,,,,,,,,03,2018,2018-06-20
junho 2018,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.693.091.100,00","1.693.091.100,00","256.329.516,96","15,14","814.328.087,57","48,10","878.763.012,43",03,2018,2018-06-20
junho 2018,DÉFICIT (VI),,,,,,,,03,2018,2018-06-20
junho 2018,TOTAL (VII) = (V + VI),"1.693.091.100,00","1.693.091.100,00","256.329.516,96","15,14","814.328.087,57","48,10","878.763.012,43",03,2018,2018-06-20
junho 2018,SALDOS DE EXERCÍCIOS ANTERIORES,"0,00","0,00",,,"0,00",,,03,2018,2018-06-20
junho 2018,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,03,2018,2018-06-20
junho 2018,Superávit Financeiro Utilizado para Créditos Adicionais,,,,,,,,03,2018,2018-06-20
junho 2018,Reabertura de Créditos Adicionais,,,,,,,,03,2018,2018-06-20
abril 2018,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.657.129.100,00","1.657.129.100,00","282.044.918,73","17,02","546.945.714,79","33,01","1.110.183.385,21",02,2018,2018-04-20
abril 2018,RECEITAS CORRENTES,"1.607.270.770,00","1.607.270.770,00","277.659.743,01","17,28","539.055.394,31","33,54","1.068.215.375,69",02,2018,2018-04-20
abril 2018,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","470.280.000,00","470.280.000,00","111.873.803,66","23,79","163.230.780,35","34,71","307.049.219,65",02,2018,2018-04-20
abril 2018,Impostos,"417.950.000,00","417.950.000,00","97.998.080,90","23,45","146.527.970,71","35,06","271.422.029,29",02,2018,2018-04-20
abril 2018,Taxas,"50.130.000,00","50.130.000,00","13.744.696,82","27,42","16.423.072,06","32,76","33.706.927,94",02,2018,2018-04-20
abril 2018,Contribuição de Melhoria,"2.200.000,00","2.200.000,00","131.025,94","5,96","279.737,58","12,72","1.920.262,42",02,2018,2018-04-20
abril 2018,CONTRIBUIÇÕES,"17.981.000,00","17.981.000,00","2.795.712,69","15,55","5.527.404,78","30,74","12.453.595,22",02,2018,2018-04-20
abril 2018,Contribuições Sociais,"17.981.000,00","17.981.000,00","2.795.712,69","15,55","5.527.404,78","30,74","12.453.595,22",02,2018,2018-04-20
abril 2018,Contribuições Econômicas,,,,,,,,02,2018,2018-04-20
abril 2018,"Contribuições para Entidades Privadas de Serviço Social e de Formação
Profissional",,,,,,,,02,2018,2018-04-20
abril 2018,Contribuição para o Custeio do Serviço de Iluminação Pública,,,,,,,,02,2018,2018-04-20
abril 2018,RECEITA PATRIMONIAL,"37.636.960,00","37.636.960,00","2.584.062,13","6,87","4.438.447,88","11,79","33.198.512,12",02,2018,2018-04-20
abril 2018,Exploração do Patrimônio Imobiliário do Estado,"1.615.360,00","1.615.360,00","524.720,01","32,48","1.006.605,81","62,31","608.754,19",02,2018,2018-04-20
abril 2018,Valores Mobiliários,"36.021.600,00","36.021.600,00","2.059.342,12","5,72","3.431.842,07","9,53","32.589.757,93",02,2018,2018-04-20
abril 2018,"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização
ou Licença",,,,,,,,02,2018,2018-04-20
abril 2018,Exploração de Recursos Naturais,,,,,,,,02,2018,2018-04-20
abril 2018,Exploração do Patrimônio Intangível,,,,,,,,02,2018,2018-04-20
abril 2018,Cessão de Direitos,,,,,,,,02,2018,2018-04-20
abril 2018,Demais Receitas Patrimoniais,,,,,,,,02,2018,2018-04-20
abril 2018,RECEITA AGROPECUÁRIA,,,,,,,,02,2018,2018-04-20
abril 2018,RECEITA INDUSTRIAL,,,,,,,,02,2018,2018-04-20
abril 2018,RECEITA DE SERVIÇOS,"236.583.710,00","236.583.710,00","39.088.187,46","16,52","77.414.637,51","32,72","159.169.072,49",02,2018,2018-04-20
abril 2018,Serviços Administrativos e Comerciais Gerais,"236.578.710,00","236.578.710,00","39.073.539,42","16,52","77.377.245,24","32,71","159.201.464,76",02,2018,2018-04-20
abril 2018,Serviços e Atividades Referentes à Navegação e ao Transporte,,,,,,,,02,2018,2018-04-20
abril 2018,Serviços e Atividades Referentes à Saúde,,,,,,,,02,2018,2018-04-20
abril 2018,Serviços e Atividades Financeiras,,,,,,,,02,2018,2018-04-20
abril 2018,Outros Serviços,"5.000,00","5.000,00","14.648,04","292,96","37.392,27","747,85","-32.392,27",02,2018,2018-04-20
abril 2018,TRANSFERÊNCIAS CORRENTES,"799.202.100,00","799.202.100,00","115.843.687,20","14,49","275.612.083,17","34,49","523.590.016,83",02,2018,2018-04-20
abril 2018,Transferências da União e de suas Entidades,"217.671.500,00","217.671.500,00","35.173.822,97","16,16","70.276.956,25","32,29","147.394.543,75",02,2018,2018-04-20
abril 2018,Transferências dos Estados e do Distrito Federal e de suas Entidades,"439.830.600,00","439.830.600,00","59.638.427,24","13,56","153.553.574,48","34,91","286.277.025,52",02,2018,2018-04-20
abril 2018,Transferências dos Municípios e de suas Entidades,"0,00","0,00","177.565,50",,"303.565,50",,"-303.565,50",02,2018,2018-04-20
abril 2018,Transferências de Instituições Privadas,"0,00","0,00","0,00",,"46.000,00",,"-46.000,00",02,2018,2018-04-20
abril 2018,Transferências de Outras Instituições Públicas,"141.700.000,00","141.700.000,00","20.853.871,49","14,72","51.431.986,94","36,30","90.268.013,06",02,2018,2018-04-20
abril 2018,Transferências do Exterior,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências de Pessoas Físicas,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências Provenientes de Depósitos Não Identificados,,,,,,,,02,2018,2018-04-20
abril 2018,OUTRAS RECEITAS CORRENTES,"45.587.000,00","45.587.000,00","5.474.289,87","12,01","12.832.040,62","28,15","32.754.959,38",02,2018,2018-04-20
abril 2018,"Multas Administrativas, Contratuais e Judiciais","15.521.000,00","15.521.000,00","1.954.960,96","12,60","4.165.317,23","26,84","11.355.682,77",02,2018,2018-04-20
abril 2018,"Indenizações, Restituições e Ressarcimentos","2.208.000,00","2.208.000,00","1.353.466,42","61,30","1.612.278,91","73,02","595.721,09",02,2018,2018-04-20
abril 2018,"Bens, Direitos e Valores Incorporados ao Patrimônio Público","50.000,00","50.000,00","0,00","0,00","0,00","0,00","50.000,00",02,2018,2018-04-20
abril 2018,Demais Receitas Correntes,"27.808.000,00","27.808.000,00","2.165.862,49","7,79","7.054.444,48","25,37","20.753.555,52",02,2018,2018-04-20
abril 2018,RECEITAS DE CAPITAL,"49.858.330,00","49.858.330,00","4.385.175,72","8,80","7.890.320,48","15,83","41.968.009,52",02,2018,2018-04-20
abril 2018,OPERAÇÕES DE CRÉDITO,"32.771.950,00","32.771.950,00","1.932.758,98","5,90","3.325.484,01","10,15","29.446.465,99",02,2018,2018-04-20
abril 2018,Operações de Crédito - Mercado Interno,"32.771.950,00","32.771.950,00","1.932.758,98","5,90","3.325.484,01","10,15","29.446.465,99",02,2018,2018-04-20
abril 2018,Operações de Crédito - Mercado Externo,,,,,,,,02,2018,2018-04-20
abril 2018,ALIENAÇÃO DE BENS,"550.000,00","550.000,00","0,00","0,00","0,00",,"550.000,00",02,2018,2018-04-20
abril 2018,Alienação de Bens Móveis,"550.000,00","550.000,00","0,00","0,00","0,00",,"550.000,00",02,2018,2018-04-20
abril 2018,Alienação de Bens Imóveis,,,,,,,,02,2018,2018-04-20
abril 2018,Alienação de Bens Intangíveis,,,,,,,,02,2018,2018-04-20
abril 2018,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,02,2018,2018-04-20
abril 2018,TRANSFERÊNCIAS DE CAPITAL,"16.436.380,00","16.436.380,00","2.452.416,74","14,92","4.564.836,47","27,77","11.871.543,53",02,2018,2018-04-20
abril 2018,Transferências da União e de suas Entidades,"13.736.380,00","13.736.380,00","2.452.416,74","17,85","4.564.836,47","33,23","9.171.543,53",02,2018,2018-04-20
abril 2018,Transferências dos Estados e do Distrito Federal e de suas Entidades,"2.700.000,00","2.700.000,00","0,00","0,00","0,00","0,00","2.700.000,00",02,2018,2018-04-20
abril 2018,Transferências dos Municípios e de suas Entidades,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências de Instituições Privadas,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências de Outras Instituições Públicas,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências do Exterior,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências de Pessoas Físicas,,,,,,,,02,2018,2018-04-20
abril 2018,Transferências Provenientes de Depósitos Não Identificados,,,,,,,,02,2018,2018-04-20
abril 2018,OUTRAS RECEITAS DE CAPITAL,"100.000,00","100.000,00","0,00","0,00","0,00",,"100.000,00",02,2018,2018-04-20
abril 2018,Integralização do Capital Social,,,,,,,,02,2018,2018-04-20
abril 2018,Remuneração das Disponibilidades do Tesouro,,,,,,,,02,2018,2018-04-20
abril 2018,Resgate de Títulos do Tesouro,,,,,,,,02,2018,2018-04-20
abril 2018,Demais Receitas de Capital,"100.000,00","100.000,00","0,00","0,00","0,00","0,00","100.000,00",02,2018,2018-04-20
abril 2018,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"35.962.000,00","35.962.000,00","5.590.512,27","15,55","11.052.855,82","30,73","24.909.144,18",02,2018,2018-04-20
abril 2018,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.693.091.100,00","1.693.091.100,00","287.635.431,00","16,99","557.998.570,61","32,96","1.135.092.529,39",02,2018,2018-04-20
abril 2018,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",02,2018,2018-04-20
abril 2018,Operações de Crédito - Mercado Interno,"0,00","0,00","0,00",,"0,00",,"0,00",02,2018,2018-04-20
abril 2018,Mobiliária,,,,,,,,02,2018,2018-04-20
abril 2018,Contratual,,,,,,,,02,2018,2018-04-20
abril 2018,Operações de Crédito - Mercado Externo,"0,00","0,00","0,00",,"0,00",,"0,00",02,2018,2018-04-20
abril 2018,Mobiliária,,,,,,,,02,2018,2018-04-20
abril 2018,Contratual,,,,,,,,02,2018,2018-04-20
abril 2018,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.693.091.100,00","1.693.091.100,00","287.635.431,00","16,99","557.998.570,61","32,96","1.135.092.529,39",02,2018,2018-04-20
abril 2018,DÉFICIT (VI),,,,,,,,02,2018,2018-04-20
abril 2018,TOTAL (VII) = (V + VI),"1.693.091.100,00","1.693.091.100,00","287.635.431,00","16,99","557.998.570,61","32,96","1.135.092.529,39",02,2018,2018-04-20
abril 2018,SALDOS DE EXERCÍCIOS ANTERIORES,"0,00","0,00",,,"0,00",,,02,2018,2018-04-20
abril 2018,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,02,2018,2018-04-20
abril 2018,Superávit Financeiro Utilizado para Créditos Adicionais,,,,,,,,02,2018,2018-04-20
abril 2018,Reabertura de Créditos Adicionais,,,,,,,,02,2018,2018-04-20
fevereiro 2018,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.657.129.100,00","1.657.129.100,00","264.900.796,06","15,99","264.900.796,06","15,99","1.392.228.303,94",01,2018,2018-02-20
fevereiro 2018,RECEITAS CORRENTES,"1.607.270.770,00","1.607.270.770,00","261.395.651,30","16,26","261.395.651,30","16,26","1.345.875.118,70",01,2018,2018-02-20
fevereiro 2018,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","470.280.000,00","470.280.000,00","51.356.976,69","10,92","51.356.976,69","10,92","418.923.023,31",01,2018,2018-02-20
fevereiro 2018,Impostos,"417.950.000,00","417.950.000,00","48.529.889,81","11,61","48.529.889,81","11,61","369.420.110,19",01,2018,2018-02-20
fevereiro 2018,Taxas,"50.130.000,00","50.130.000,00","2.678.375,24","5,34","2.678.375,24","5,34","47.451.624,76",01,2018,2018-02-20
fevereiro 2018,Contribuição de Melhoria,"2.200.000,00","2.200.000,00","148.711,64","6,76","148.711,64","6,76","2.051.288,36",01,2018,2018-02-20
fevereiro 2018,CONTRIBUIÇÕES,"17.981.000,00","17.981.000,00","2.731.692,09","15,19","2.731.692,09","15,19","15.249.307,91",01,2018,2018-02-20
fevereiro 2018,Contribuições Sociais,"17.981.000,00","17.981.000,00","2.731.692,09","15,19","2.731.692,09","15,19","15.249.307,91",01,2018,2018-02-20
fevereiro 2018,Contribuições Econômicas,,,,,,,,01,2018,2018-02-20
fevereiro 2018,"Contribuições para Entidades Privadas de Serviço Social e de Formação
Profissional",,,,,,,,01,2018,2018-02-20
fevereiro 2018,Contribuição para o Custeio do Serviço de Iluminação Pública,,,,,,,,01,2018,2018-02-20
fevereiro 2018,RECEITA PATRIMONIAL,"37.636.960,00","37.636.960,00","1.854.385,75","4,93","1.854.385,75","4,93","35.782.574,25",01,2018,2018-02-20
fevereiro 2018,Exploração do Patrimônio Imobiliário do Estado,"1.615.360,00","1.615.360,00","481.885,80","29,83","481.885,80","29,83","1.133.474,20",01,2018,2018-02-20
fevereiro 2018,Valores Mobiliários,"36.021.600,00","36.021.600,00","1.372.499,95","3,81","1.372.499,95","3,81","34.649.100,05",01,2018,2018-02-20
fevereiro 2018,"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização
ou Licença",,,,,,,,01,2018,2018-02-20
fevereiro 2018,Exploração de Recursos Naturais,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Exploração do Patrimônio Intangível,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Cessão de Direitos,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Demais Receitas Patrimoniais,,,,,,,,01,2018,2018-02-20
fevereiro 2018,RECEITA AGROPECUÁRIA,,,,,,,,01,2018,2018-02-20
fevereiro 2018,RECEITA INDUSTRIAL,,,,,,,,01,2018,2018-02-20
fevereiro 2018,RECEITA DE SERVIÇOS,"236.583.710,00","236.583.710,00","38.326.450,05","16,20","38.326.450,05","16,20","198.257.259,95",01,2018,2018-02-20
fevereiro 2018,Serviços Administrativos e Comerciais Gerais,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Serviços e Atividades Referentes à Navegação e ao Transporte,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Serviços e Atividades Referentes à Saúde,,,,,,,,01,2018,2018-02-20
fevereiro 2018,Serviços e Atividades Financeiras,,,,,,,,01,2018,2018-02-20
